line_item_id,billing_period,usage_start_date,usage_end_date,service,resource_id,usage_type,usage_amount,usage_unit,unblended_cost,currency,region,pricing_term,tag_team,tag_environment,tag_project
LI-1000,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00bc1b7,BoxUsage:m5.large,628.6326,Hrs,60.3487,USD,eu-central-1,OnDemand,backend,prod,api-core
LI-1001,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-0034ea3,BoxUsage:c5.4xlarge,631.7434,Hrs,429.5855,USD,eu-central-1,OnDemand,backend,production,api-core
LI-1002,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-001ed11,BoxUsage:m5.2xlarge,700.5321,Hrs,269.0043,USD,eu-central-1,OnDemand,backend,,
LI-1003,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00d6404,BoxUsage:m5.2xlarge,631.0052,Hrs,242.306,USD,eu-central-1,OnDemand,backend,production,api-core
LI-1004,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-005ed25,BoxUsage:m5.xlarge,654.7095,Hrs,125.7042,USD,eu-central-1,OnDemand,backend,,
LI-1005,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00571b3,BoxUsage:t3.medium,686.9365,Hrs,28.5766,USD,eu-central-1,OnDemand,backend,dev,api-core
LI-1006,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00518e5,BoxUsage:m5.large,617.975,Hrs,59.3256,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-1007,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-003c22c,BoxUsage:m5.large,642.2177,Hrs,61.6529,USD,eu-central-1,OnDemand,data-platform,development,data-lake-v2
LI-1008,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00d4f36,BoxUsage:m5.large,627.6896,Hrs,60.2582,USD,eu-central-1,OnDemand,,,
LI-1009,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-0032a71,BoxUsage:m5.2xlarge,711.3218,Hrs,273.1476,USD,eu-central-1,OnDemand,data-platform,staging,data-lake-v2
